sample_id,batch_id,cultivar_code,outer_fold
313_A110_B01-0135,313_A110_B01,L313,4
313_A110_B01-0136,313_A110_B01,L313,2
313_A110_B01-0137,313_A110_B01,L313,5
313_A110_B01-0138,313_A110_B01,L313,3
313_A110_B01-0139,313_A110_B01,L313,1
313_A110_B01-0140,313_A110_B01,L313,2
313_A110_B01-0141,313_A110_B01,L313,1
313_A110_B01-0142,313_A110_B01,L313,2
313_A110_B01-0143,313_A110_B01,L313,4
313_A110_B01-0144,313_A110_B01,L313,5
313_A110_B01-0145,313_A110_B01,L313,4
313_A110_B01-0146,313_A110_B01,L313,3
313_A110_B01-0147,313_A110_B01,L313,3
313_A110_B01-0148,313_A110_B01,L313,3
313_A110_B01-0149,313_A110_B01,L313,3
313_A110_B01-0150,313_A110_B01,L313,3
313_A110_B01-0151,313_A110_B01,L313,3
313_A110_B01-0152,313_A110_B01,L313,5
313_A110_B01-0153,313_A110_B01,L313,3
313_A110_B01-0154,313_A110_B01,L313,3
313_A110_B01-0155,313_A110_B01,L313,4
313_A110_B01-0156,313_A110_B01,L313,5
313_A110_B01-0157,313_A110_B01,L313,2
313_A110_B01-0158,313_A110_B01,L313,1
313_A110_B01-0159,313_A110_B01,L313,4
313_A110_B01-0160,313_A110_B01,L313,3
313_A110_B01-0161,313_A110_B01,L313,1
313_A110_B01-0162,313_A110_B01,L313,3
313_A110_B01-0163,313_A110_B01,L313,1
313_A110_B01-0164,313_A110_B01,L313,3
313_A110_B01-0166,313_A110_B01,L313,2
313_A110_B01-0167,313_A110_B01,L313,5
313_A110_B01-0168,313_A110_B01,L313,5
313_A110_B01-0169,313_A110_B01,L313,4
313_A110_B01-0170,313_A110_B01,L313,1
313_A110_B01-0173,313_A110_B01,L313,2
313_A110_B01-0174,313_A110_B01,L313,2
313_A110_B01-0175,313_A110_B01,L313,5
313_A110_B01-0176,313_A110_B01,L313,5
313_A110_B01-0177,313_A110_B01,L313,5
313_A110_B01-0178,313_A110_B01,L313,3
313_A110_B01-0179,313_A110_B01,L313,1
313_A110_B01-0180,313_A110_B01,L313,2
313_A110_B01-0181,313_A110_B01,L313,3
313_A110_B01-0182,313_A110_B01,L313,4
313_A110_B01-0184,313_A110_B01,L313,3
313_A110_B01-0185,313_A110_B01,L313,1
313_A110_B01-0186,313_A110_B01,L313,5
313_A110_B01-0188,313_A110_B01,L313,2
313_A110_B01-0189,313_A110_B01,L313,4
313_A110_B01-0190,313_A110_B01,L313,1
313_A110_B01-0191,313_A110_B01,L313,3
313_A110_B01-0192,313_A110_B01,L313,1
313_A110_B01-0193,313_A110_B01,L313,4
313_A110_B01-0194,313_A110_B01,L313,4
313_A110_B01-0196,313_A110_B01,L313,4
313_A110_B01-0197,313_A110_B01,L313,5
313_A110_B01-0198,313_A110_B01,L313,3
313_A110_B01-0199,313_A110_B01,L313,4
313_A110_B01-0200,313_A110_B01,L313,1
313_A110_B01-0201,313_A110_B01,L313,1
313_A110_B01-0202,313_A110_B01,L313,4
313_A110_B01-0204,313_A110_B01,L313,4
313_A110_B01-0205,313_A110_B01,L313,4
313_A110_B01-0206,313_A110_B01,L313,1
313_A110_B01-0208,313_A110_B01,L313,4
313_A110_B01-0210,313_A110_B01,L313,5
313_A110_B01-0211,313_A110_B01,L313,3
313_A110_B01-0212,313_A110_B01,L313,5
313_A110_B01-0213,313_A110_B01,L313,3
313_A110_B01-0214,313_A110_B01,L313,1
313_A110_B01-0215,313_A110_B01,L313,1
313_A110_B01-0217,313_A110_B01,L313,4
313_A110_B01-0219,313_A110_B01,L313,2
313_A110_B01-0220,313_A110_B01,L313,2
313_A110_B01-0221,313_A110_B01,L313,4
313_A110_B01-0222,313_A110_B01,L313,1
313_A110_B01-0224,313_A110_B01,L313,2
313_A110_B01-0225,313_A110_B01,L313,5
313_A110_B01-0226,313_A110_B01,L313,2
313_A110_B01-0227,313_A110_B01,L313,5
313_A110_B01-0228,313_A110_B01,L313,2
313_A110_B01-0229,313_A110_B01,L313,5
313_A110_B01-0231,313_A110_B01,L313,4
313_A110_B01-0232,313_A110_B01,L313,2
313_A110_B01-0233,313_A110_B01,L313,2
313_A110_B01-0234,313_A110_B01,L313,4
313_A110_B01-0235,313_A110_B01,L313,1
313_A110_B01-0236,313_A110_B01,L313,1
313_A110_B01-0237,313_A110_B01,L313,4
313_A110_B01-0238,313_A110_B01,L313,3
313_A110_B01-0239,313_A110_B01,L313,2
313_A110_B01-0241,313_A110_B01,L313,2
313_A110_B01-0242,313_A110_B01,L313,2
313_A110_B01-0243,313_A110_B01,L313,1
313_A110_B01-0244,313_A110_B01,L313,5
313_A110_B01-0245,313_A110_B01,L313,5
313_A110_B01-0246,313_A110_B01,L313,2
313_A110_B01-0247,313_A110_B01,L313,2
313_A110_B01-0248,313_A110_B01,L313,2
313_A110_B01-0249,313_A110_B01,L313,4
313_A110_B01-0250,313_A110_B01,L313,3
313_A110_B01-0251,313_A110_B01,L313,3
313_A110_B01-0252,313_A110_B01,L313,4
313_A110_B01-0253,313_A110_B01,L313,4
313_A110_B01-0256,313_A110_B01,L313,3
313_A110_B01-0257,313_A110_B01,L313,4
313_A110_B01-0258,313_A110_B01,L313,2
313_A110_B01-0259,313_A110_B01,L313,5
313_A110_B01-0260,313_A110_B01,L313,2
313_A110_B01-0261,313_A110_B01,L313,5
313_A110_B01-0262,313_A110_B01,L313,3
313_A110_B01-0263,313_A110_B01,L313,3
313_A110_B01-0265,313_A110_B01,L313,4
313_A110_B01-0266,313_A110_B01,L313,1
313_A110_B01-0268,313_A110_B01,L313,1
313_A110_B01-0269,313_A110_B01,L313,4
313_A110_B01-0272,313_A110_B01,L313,1
313_A110_B01-0273,313_A110_B01,L313,5
313_A110_B01-0274,313_A110_B01,L313,1
313_A110_B01-0275,313_A110_B01,L313,1
313_A110_B01-0276,313_A110_B01,L313,4
313_A110_B01-0277,313_A110_B01,L313,3
313_A110_B01-0278,313_A110_B01,L313,1
313_A110_B01-0279,313_A110_B01,L313,5
313_A110_B01-0280,313_A110_B01,L313,3
313_A110_B01-0281,313_A110_B01,L313,2
313_A110_B01-0282,313_A110_B01,L313,2
313_A110_B01-0283,313_A110_B01,L313,5
313_A110_B01-0284,313_A110_B01,L313,5
313_A110_B01-0286,313_A110_B01,L313,2
313_A110_B01-0288,313_A110_B01,L313,4
313_A110_B01-0289,313_A110_B01,L313,5
313_A110_B01-0290,313_A110_B01,L313,3
313_A110_B01-0291,313_A110_B01,L313,1
313_A110_B01-0292,313_A110_B01,L313,2
313_A110_B01-0293,313_A110_B01,L313,2
313_A110_B01-0294,313_A110_B01,L313,5
313_A110_B01-0295,313_A110_B01,L313,3
313_A110_B01-0296,313_A110_B01,L313,5
313_A110_B01-0297,313_A110_B01,L313,3
313_A110_B01-0299,313_A110_B01,L313,3
313_A110_B01-0300,313_A110_B01,L313,3
313_A110_B01-0301,313_A110_B01,L313,5
313_A110_B01-0302,313_A110_B01,L313,4
313_A110_B01-0303,313_A110_B01,L313,2
313_A110_B01-0305,313_A110_B01,L313,3
313_A110_B01-0306,313_A110_B01,L313,5
313_A110_B01-0307,313_A110_B01,L313,2
313_A110_B01-0308,313_A110_B01,L313,1
313_A110_B01-0309,313_A110_B01,L313,5
313_A110_B01-0310,313_A110_B01,L313,2
313_A110_B01-0311,313_A110_B01,L313,3
313_A110_B01-0312,313_A110_B01,L313,2
313_A110_B01-0313,313_A110_B01,L313,2
313_A110_B01-0314,313_A110_B01,L313,1
313_A110_B01-0315,313_A110_B01,L313,4
313_A110_B01-0316,313_A110_B01,L313,2
313_A110_B01-0317,313_A110_B01,L313,5
313_A110_B01-0318,313_A110_B01,L313,4
313_A110_B01-0319,313_A110_B01,L313,3
313_A110_B01-0320,313_A110_B01,L313,1
313_A110_B01-0321,313_A110_B01,L313,1
313_A110_B01-0322,313_A110_B01,L313,5
313_A110_B01-0323,313_A110_B01,L313,1
313_A110_B01-0324,313_A110_B01,L313,4
313_A110_B01-0325,313_A110_B01,L313,3
313_A110_B01-0326,313_A110_B01,L313,1
313_A110_B01-0327,313_A110_B01,L313,4
313_A110_B01-0328,313_A110_B01,L313,2
313_A110_B01-0329,313_A110_B01,L313,4
313_A110_B01-0330,313_A110_B01,L313,3
313_A110_B01-0331,313_A110_B01,L313,5
313_A110_B01-0332,313_A110_B01,L313,4
313_A110_B01-0333,313_A110_B01,L313,1
313_A110_B01-0334,313_A110_B01,L313,3
313_A110_B01-0336,313_A110_B01,L313,3
313_A110_B01-0337,313_A110_B01,L313,2
313_A110_B01-0338,313_A110_B01,L313,5
313_A110_B01-0339,313_A110_B01,L313,2
313_A110_B01-0340,313_A110_B01,L313,1
313_A110_B01-0341,313_A110_B01,L313,2
313_A110_B01-0342,313_A110_B01,L313,4
313_A110_B01-0343,313_A110_B01,L313,5
313_A110_B01-0344,313_A110_B01,L313,1
313_A110_B01-0346,313_A110_B01,L313,2
313_A110_B01-0347,313_A110_B01,L313,1
313_A110_B01-0348,313_A110_B01,L313,5
313_A110_B01-0349,313_A110_B01,L313,4
313_A110_B01-0350,313_A110_B01,L313,1
A181_B01-0001,A181_B01,LA191,2
A181_B01-0002,A181_B01,LA191,3
A181_B01-0003,A181_B01,LA191,3
A181_B01-0004,A181_B01,LA191,1
A181_B01-0005,A181_B01,LA191,3
A181_B01-0006,A181_B01,LA191,2
A181_B01-0007,A181_B01,LA191,4
A181_B01-0008,A181_B01,LA191,1
A181_B01-0010,A181_B01,LA191,4
A181_B01-0011,A181_B01,LA191,3
A181_B01-0012,A181_B01,LA191,1
A181_B01-0013,A181_B01,LA191,3
A181_B01-0014,A181_B01,LA191,2
A181_B01-0015,A181_B01,LA191,1
A181_B01-0016,A181_B01,LA191,4
A181_B01-0018,A181_B01,LA191,2
A181_B01-0019,A181_B01,LA191,1
A181_B01-0020,A181_B01,LA191,4
A181_B01-0021,A181_B01,LA191,1
A181_B01-0022,A181_B01,LA191,1
A181_B01-0023,A181_B01,LA191,1
A181_B01-0024,A181_B01,LA191,1
A181_B01-0025,A181_B01,LA191,3
A181_B01-0026,A181_B01,LA191,4
A181_B01-0027,A181_B01,LA191,1
A181_B01-0028,A181_B01,LA191,1
A181_B01-0029,A181_B01,LA191,3
A181_B01-0031,A181_B01,LA191,3
A181_B01-0032,A181_B01,LA191,5
A181_B01-0033,A181_B01,LA191,1
A181_B01-0034,A181_B01,LA191,2
A181_B01-0035,A181_B01,LA191,5
A181_B01-0036,A181_B01,LA191,4
A181_B01-0037,A181_B01,LA191,5
A181_B01-0038,A181_B01,LA191,3
A181_B01-0039,A181_B01,LA191,5
A181_B01-0040,A181_B01,LA191,5
A181_B01-0041,A181_B01,LA191,3
A181_B01-0042,A181_B01,LA191,4
A181_B01-0043,A181_B01,LA191,3
A181_B01-0044,A181_B01,LA191,1
A181_B01-0045,A181_B01,LA191,2
A181_B01-0046,A181_B01,LA191,4
A181_B01-0047,A181_B01,LA191,1
A181_B01-0048,A181_B01,LA191,4
A181_B01-0049,A181_B01,LA191,1
A181_B01-0050,A181_B01,LA191,5
A181_B01-0051,A181_B01,LA191,1
A181_B01-0052,A181_B01,LA191,2
A181_B01-0053,A181_B01,LA191,3
A181_B01-0054,A181_B01,LA191,3
A181_B01-0055,A181_B01,LA191,2
A181_B01-0056,A181_B01,LA191,1
A181_B01-0057,A181_B01,LA191,4
A181_B01-0058,A181_B01,LA191,2
A181_B01-0059,A181_B01,LA191,3
A181_B01-0060,A181_B01,LA191,5
A181_B01-0061,A181_B01,LA191,5
A181_B01-0063,A181_B01,LA191,4
A181_B01-0065,A181_B01,LA191,5
A181_B01-0066,A181_B01,LA191,5
A181_B01-0067,A181_B01,LA191,4
A181_B01-0068,A181_B01,LA191,2
A181_B01-0069,A181_B01,LA191,4
A181_B01-0070,A181_B01,LA191,1
A181_B01-0071,A181_B01,LA191,5
A181_B01-0072,A181_B01,LA191,1
A181_B01-0073,A181_B01,LA191,3
A181_B01-0074,A181_B01,LA191,2
A181_B01-0075,A181_B01,LA191,2
A181_B01-0076,A181_B01,LA191,5
A181_B01-0077,A181_B01,LA191,5
A181_B01-0078,A181_B01,LA191,5
A181_B01-0080,A181_B01,LA191,4
A181_B01-0081,A181_B01,LA191,2
A181_B01-0083,A181_B01,LA191,1
A181_B01-0084,A181_B01,LA191,3
A181_B01-0085,A181_B01,LA191,5
A181_B01-0087,A181_B01,LA191,4
A181_B01-0088,A181_B01,LA191,3
A181_B01-0090,A181_B01,LA191,3
A181_B01-0091,A181_B01,LA191,5
A181_B01-0092,A181_B01,LA191,4
A181_B01-0093,A181_B01,LA191,5
A181_B01-0094,A181_B01,LA191,4
A181_B01-0095,A181_B01,LA191,2
A181_B01-0096,A181_B01,LA191,5
A181_B01-0097,A181_B01,LA191,1
A181_B01-0098,A181_B01,LA191,4
A181_B01-0099,A181_B01,LA191,3
A181_B01-0100,A181_B01,LA191,4
A181_B01-0101,A181_B01,LA191,4
A181_B01-0102,A181_B01,LA191,1
A181_B01-0103,A181_B01,LA191,5
A181_B01-0104,A181_B01,LA191,2
A181_B01-0105,A181_B01,LA191,5
A181_B01-0106,A181_B01,LA191,5
A181_B01-0107,A181_B01,LA191,3
A181_B01-0108,A181_B01,LA191,3
A181_B01-0109,A181_B01,LA191,3
A181_B01-0110,A181_B01,LA191,3
A181_B01-0111,A181_B01,LA191,1
A181_B01-0112,A181_B01,LA191,5
A181_B01-0113,A181_B01,LA191,4
A181_B01-0114,A181_B01,LA191,3
A181_B01-0115,A181_B01,LA191,4
A181_B01-0116,A181_B01,LA191,3
A181_B01-0117,A181_B01,LA191,1
A181_B01-0118,A181_B01,LA191,4
A181_B01-0119,A181_B01,LA191,2
A181_B01-0120,A181_B01,LA191,2
A181_B01-0121,A181_B01,LA191,2
A181_B01-0122,A181_B01,LA191,3
A181_B01-0123,A181_B01,LA191,5
A181_B01-0124,A181_B01,LA191,5
A181_B01-0125,A181_B01,LA191,3
A181_B01-0126,A181_B01,LA191,4
A181_B01-0127,A181_B01,LA191,1
A181_B01-0128,A181_B01,LA191,4
A181_B01-0129,A181_B01,LA191,3
A181_B01-0130,A181_B01,LA191,3
A181_B01-0131,A181_B01,LA191,1
A181_B01-0132,A181_B01,LA191,5
A181_B01-0133,A181_B01,LA191,4
A181_B01-0136,A181_B01,LA191,1
A181_B01-0137,A181_B01,LA191,2
A181_B01-0138,A181_B01,LA191,3
A181_B01-0139,A181_B01,LA191,4
A181_B01-0140,A181_B01,LA191,2
A181_B01-0141,A181_B01,LA191,5
A181_B01-0142,A181_B01,LA191,2
A181_B01-0143,A181_B01,LA191,2
A181_B01-0144,A181_B01,LA191,5
A181_B01-0145,A181_B01,LA191,1
A181_B01-0146,A181_B01,LA191,5
A181_B01-0147,A181_B01,LA191,2
A181_B01-0148,A181_B01,LA191,4
A181_B01-0149,A181_B01,LA191,1
A181_B01-0150,A181_B01,LA191,1
A181_B01-0151,A181_B01,LA191,1
A181_B01-0152,A181_B01,LA191,2
A181_B01-0153,A181_B01,LA191,5
A181_B01-0154,A181_B01,LA191,4
A181_B01-0155,A181_B01,LA191,1
A181_B01-0156,A181_B01,LA191,1
A181_B01-0157,A181_B01,LA191,5
A181_B01-0158,A181_B01,LA191,2
A181_B01-0161,A181_B01,LA191,5
A181_B01-0162,A181_B01,LA191,3
A181_B01-0163,A181_B01,LA191,2
A181_B01-0164,A181_B01,LA191,4
A181_B01-0165,A181_B01,LA191,3
A181_B01-0166,A181_B01,LA191,3
A181_B01-0168,A181_B01,LA191,4
A181_B01-0169,A181_B01,LA191,5
A181_B01-0172,A181_B01,LA191,2
A181_B01-0173,A181_B01,LA191,5
A181_B01-0174,A181_B01,LA191,3
A181_B01-0175,A181_B01,LA191,2
A181_B01-0176,A181_B01,LA191,1
A181_B01-0177,A181_B01,LA191,3
A181_B01-0179,A181_B01,LA191,4
A181_B01-0180,A181_B01,LA191,3
A181_B01-0182,A181_B01,LA191,4
A181_B01-0183,A181_B01,LA191,3
A181_B01-0184,A181_B01,LA191,4
A181_B01-0186,A181_B01,LA191,1
A181_B01-0187,A181_B01,LA191,5
A181_B01-0188,A181_B01,LA191,5
A181_B01-0189,A181_B01,LA191,1
A181_B01-0190,A181_B01,LA191,5
A181_B01-0191,A181_B01,LA191,1
A181_B01-0192,A181_B01,LA191,4
A181_B01-0194,A181_B01,LA191,2
A181_B01-0195,A181_B01,LA191,1
A181_B01-0196,A181_B01,LA191,4
A181_B01-0197,A181_B01,LA191,3
A181_B01-0199,A181_B01,LA191,3
A181_B01-0201,A181_B01,LA191,2
A181_B01-0202,A181_B01,LA191,5
A181_B01-0203,A181_B01,LA191,3
A181_B01-0204,A181_B01,LA191,1
A181_B01-0205,A181_B01,LA191,3
A181_B01-0206,A181_B01,LA191,1
A181_B01-0207,A181_B01,LA191,3
A181_B01-0208,A181_B01,LA191,4
A181_B01-0209,A181_B01,LA191,3
A181_B01-0210,A181_B01,LA191,2
A181_B01-0211,A181_B01,LA191,1
A181_B01-0212,A181_B01,LA191,4
A181_B01-0213,A181_B01,LA191,4
A181_B01-0214,A181_B01,LA191,4
A181_B01-0215,A181_B01,LA191,3
A181_B01-0217,A181_B01,LA191,2
A181_B01-0219,A181_B01,LA191,1
A181_B01-0220,A181_B01,LA191,3
A181_B01-0221,A181_B01,LA191,4
A181_B01-0222,A181_B01,LA191,1
A181_B01-0223,A181_B01,LA191,2
A181_B01-0224,A181_B01,LA191,5
A181_B01-0225,A181_B01,LA191,4
A181_B01-0226,A181_B01,LA191,2
A181_B01-0227,A181_B01,LA191,5
A181_B01-0228,A181_B01,LA191,2
A181_B01-0229,A181_B01,LA191,1
A181_B01-0230,A181_B01,LA191,3
A181_B01-0231,A181_B01,LA191,3
A181_B01-0232,A181_B01,LA191,4
A181_B01-0233,A181_B01,LA191,5
A181_B01-0234,A181_B01,LA191,1
A181_B01-0237,A181_B01,LA191,4
A181_B01-0238,A181_B01,LA191,3
A181_B01-0239,A181_B01,LA191,4
A181_B01-0240,A181_B01,LA191,2
A181_B01-0241,A181_B01,LA191,1
A181_B01-0242,A181_B01,LA191,5
A181_B01-0243,A181_B01,LA191,4
A181_B01-0244,A181_B01,LA191,2
A181_B01-0245,A181_B01,LA191,3
A181_B01-0246,A181_B01,LA191,2
A181_B01-0247,A181_B01,LA191,3
A181_B01-0248,A181_B01,LA191,4
A181_B01-0249,A181_B01,LA191,5
A181_B01-0250,A181_B01,LA191,2
A181_B01-0252,A181_B01,LA191,1
A181_B01-0253,A181_B01,LA191,2
A181_B01-0254,A181_B01,LA191,1
A181_B01-0255,A181_B01,LA191,5
A181_B01-0256,A181_B01,LA191,5
A181_B01-0257,A181_B01,LA191,1
A181_B01-0259,A181_B01,LA191,5
A181_B01-0260,A181_B01,LA191,3
A181_B01-0261,A181_B01,LA191,3
A181_B01-0262,A181_B01,LA191,3
A181_B01-0263,A181_B01,LA191,5
A181_B01-0264,A181_B01,LA191,1
A181_B01-0265,A181_B01,LA191,3
A181_B01-0266,A181_B01,LA191,1
A181_B01-0267,A181_B01,LA191,4
A181_B01-0268,A181_B01,LA191,5
A181_B01-0269,A181_B01,LA191,4
A181_B01-0270,A181_B01,LA191,4
A181_B01-0271,A181_B01,LA191,4
A181_B01-0272,A181_B01,LA191,1
A181_B01-0273,A181_B01,LA191,4
A181_B01-0275,A181_B01,LA191,4
A181_B01-0276,A181_B01,LA191,2
A181_B01-0277,A181_B01,LA191,2
A181_B01-0278,A181_B01,LA191,2
A181_B01-0279,A181_B01,LA191,2
A181_B01-0280,A181_B01,LA191,3
A181_B01-0281,A181_B01,LA191,2
A181_B01-0282,A181_B01,LA191,4
A181_B01-0283,A181_B01,LA191,1
A181_B01-0284,A181_B01,LA191,2
A181_B01-0286,A181_B01,LA191,4
A181_B01-0288,A181_B01,LA191,2
A181_B01-0290,A181_B01,LA191,3
A181_B01-0291,A181_B01,LA191,4
A181_B01-0292,A181_B01,LA191,5
A181_B01-0293,A181_B01,LA191,5
A181_B01-0294,A181_B01,LA191,4
A181_B01-0295,A181_B01,LA191,1
A181_B01-0296,A181_B01,LA191,2
A181_B01-0298,A181_B01,LA191,5
A181_B01-0300,A181_B01,LA191,5
A181_B01-0301,A181_B01,LA191,2
A181_B01-0302,A181_B01,LA191,3
A181_B01-0303,A181_B01,LA191,2
A181_B01-0304,A181_B01,LA191,2
A181_B01-0305,A181_B01,LA191,3
A181_B01-0306,A181_B01,LA191,3
A181_B01-0307,A181_B01,LA191,5
A181_B01-0308,A181_B01,LA191,3
A181_B01-0309,A181_B01,LA191,5
A181_B01-0310,A181_B01,LA191,1
A181_B01-0311,A181_B01,LA191,5
A181_B01-0312,A181_B01,LA191,2
A181_B01-0313,A181_B01,LA191,1
A181_B01-0314,A181_B01,LA191,2
A181_B01-0315,A181_B01,LA191,5
A181_B01-0316,A181_B01,LA191,5
A181_B01-0317,A181_B01,LA191,5
A181_B01-0319,A181_B01,LA191,3
A181_B01-0320,A181_B01,LA191,2
A181_B01-0321,A181_B01,LA191,1
A181_B01-0322,A181_B01,LA191,1
A181_B01-0323,A181_B01,LA191,2
A181_B01-0324,A181_B01,LA191,4
A181_B01-0325,A181_B01,LA191,2
A181_B01-0326,A181_B01,LA191,5
A181_B01-0327,A181_B01,LA191,5
A181_B01-0329,A181_B01,LA191,1
A181_B01-0330,A181_B01,LA191,3
A181_B01-0331,A181_B01,LA191,1
A181_B01-0332,A181_B01,LA191,4
A181_B01-0334,A181_B01,LA191,4
A181_B01-0335,A181_B01,LA191,5
A181_B01-0336,A181_B01,LA191,2
A181_B01-0337,A181_B01,LA191,4
A181_B01-0338,A181_B01,LA191,1
A181_B01-0340,A181_B01,LA191,5
A181_B01-0341,A181_B01,LA191,2
A181_B01-0342,A181_B01,LA191,5
A181_B01-0343,A181_B01,LA191,2
A181_B01-0344,A181_B01,LA191,4
A181_B01-0345,A181_B01,LA191,2
A181_B01-0346,A181_B01,LA191,2
A181_B01-0347,A181_B01,LA191,2
A181_B01-0349,A181_B01,LA191,1
CHL_A185_B01-0002,CHL_A185_B01,CHL,5
CHL_A185_B01-0003,CHL_A185_B01,CHL,5
CHL_A185_B01-0004,CHL_A185_B01,CHL,1
CHL_A185_B01-0005,CHL_A185_B01,CHL,1
CHL_A185_B01-0006,CHL_A185_B01,CHL,5
CHL_A185_B01-0007,CHL_A185_B01,CHL,2
CHL_A185_B01-0008,CHL_A185_B01,CHL,1
CHL_A185_B01-0009,CHL_A185_B01,CHL,2
